nombre,descripcion,departamento
Escuela de Administracion,ffd,Departamento de Contabilidad
Escuela de Arquitectura,fdfds,Departamento de Diseño
Escuela de Bibliotecología,fdssfd,Departamento de Biotecnología
Escuela de Cartografía,sdfsdf,Departamento de Cartografía
Escuela de Comercio Internacional,sfsdf,Departamento de Contabilidad y Gestión Financiera
Escuela de Construcción Civil,dsfsdf,Departamento de Obras
Escuela de Contador Auditor,sdfsdf,Departamento de Contabilidad y Gestión Financiera
Escuela de Criminalística,sddfs,Departamento de Recursos Humanos
Escuela de Diseño,sdfdfdfs,Departamento de Diseño
Escuela de Electrónica,sddfs,Departamento de Electricidad
Escuela de Geomensura,sddfs,Departamento de Gestión Organizacional
Escuela de Industria,sdfsdf,Departamento de Industria
Escuela de Informática ,sdfdssdf,Departamento de Informática
Escuela de Ingeniería Comercial,dfssdf,"Depto. de Economía, RR. Naturales y Comercio Internacional"
Escuela de Ingeniería en Industria Alimentaria ,sdfsdf,Departamento de Industria
Escuela de Ingeniería en Industria de la Madera,sdsdf,Departamento de Industria
Escuela de Mecánica ,sdfdssdf,Departamento de Mecánica
Escuela de Prevención de Riesgo y Medioambiente ,dsfsdf,Depto. de Prevención de riesgo y Medio Ambiente
Escuela de Química,sdffds,Departamento de Química
Escuela de Trabajo Social,sdffdsfds,Departamento de Trabajo Social
Escuela de Transporte y Tránsito ,dfssdfds,Depto. de Planificación y Ordenamiento Territorial
